,Sentences,Labels
3548,he said nothing wrong btw ager wo na b delete kerta to kuch nahi hona tha army nay meeting say pahlay hi apna hisa wasool ker lia ha,neg
3549,hello hostel me hu hotel me nhi .....: bang head : ,neg
3550,hello ! zardari ek aysa insan hai jis ne puray mulk ko ut liya hai i hate zardari,neg
3551,hero ny acting achi nahi ki . over acting ke ﻿,neg
3552,hi .. is me pasta ki recepie kahan he ????? ,neg
3553,hindus say badbo bahut ati hai chahay jitna bhi yeh naha dho lain khushboain laga lain,neg
3554,hisab se battery timing kam ha ,neg
3555,"hm logon na ghalat logon ko vote daye hain . to as ka result yehi hona tha , aj tk hmari govt na koi acha kaam bi kia hai",neg
3556,hm pe aik ehsaan krna k ab match na khelna . retirement lo wt20 kay baad . mehrbani kero,neg
3557,"hmara hukmran hi sahi nai han jo aik katil shaks ko riha kar diya us ko chok main la ka goli marni chahiya thi . bus allah is mulk ko apna hifz - o - aman main rakha , amin . ",neg
3558,hmary hukmran bygairti ki haddin cross kr chuky hn . ,neg
3559,hmesha ki tra aj phr ak like b ni mla kitni hushi hoti agr ml jata😕😕😑😑😢😢,neg
3560,hmm pr fwad ka numb lagg gya ab flop honay main ji :):) ,neg
3561,hmm ye discount on air live offer hai taliban ke liya 4 peshwar skmh,neg
3562,"hmmm aap ny tu ek din mein hi tabahi macha di hai ... yeh tu aap dosron ka haq maar rehi hain , kia yeh khula tazaad nahi ... soch raha hun posts ki tadaad 3000 aur threads 300 kar dun sirf aap k lye ... ",neg
3563,hmmm acha phr mein aise kahon tu nhi lagay gi na ? bohat bury shakal ha . ,neg
3564,"hmmm dekho or chup raho ,,:p",neg
3565,hmmm per inam sb apki namaz etni jaldi kaise khatam ho gayi,neg
3566,hmmm :) jaisa follower waisi following :) jaisa insan khud waisi pasand b ok khair ap ko bhool gya thk hai pr meri dua hai kay us time jis ny b ghalat baat ka sth diya allah must saza dy usay aur jo b ziadati krnay walay ka sth dy raha dega usay b allah paspaa kray insha allah,neg
3567,hmmm :) sharam tum b kero coz tum jaisay logon ko paida honay ka hi haq ni tha es pakistan main uff aik yahudi agent kay sath ho jo merzai hai aur aulad yahudi hai kay muslim pta hi nai ok tum log usi ki aal aulad main sy ho wo to bss allah ka hukam tha kay us ny tum jaisay logon ko ibrat ka nishaan bana na khair main to ksi party kay sath ni :) albata ik aur eski party barbaad hogi boht jald sbko dikh jayee gaa :):) ,neg
3568,hmmmamir cheapster ki baaten kafi hadd tak thk hi thi khaas tor pr jo us nay kaha kay betiyaan hoti jaayen to aurat ki shamat ajati hai jo kay bilkul ghalat haikhair information kabhi b kahin b di jaa sakti hai es mai koi taluq nai kay evening mai hi di jayeen morning mai nai ok,neg
3569,hmmmm .... but i do not believe in that philosophy . :) ,neg
3570,hmne hi boom boom banaya h is insan ko ab india main nahi pakistan main khatra hai,neg
3571,hn bilkul baki batain maan skty hn but ye to bilkul ni aise cheezain chorna bhttt mushkil ha pta ni kya milaty hn inn ma k chorny ka dil hee ni krta ha,neg
3572,ho e bhootni .........:/ ,neg
3573,ho gae hainbachon ko istisnaa honai ke bawajud,neg
3574,ho jay gi ... kuch lo or kuch do wali siyasat hy sindh gov ki . ,neg
3575,holland jeet ni skte messi jo smany khel rha ho ga unka,neg
3576,honi chahiyay thii .. ending iqbal day holiday was wrong message,neg
3577,hosh may anay k bad mia sab any offshore company sale kar k sari doulat pakistan lanay ka elan kar dia lekin yeh kia subah ho gaye meri nahi mia sab kee or bolay kia howa hay,neg
3578,"hr fiqah / terrorists / isis ki factory , jo loog afwaj ke shahedon ko shaheed na kahta ho , wo bhi islamabad me mahfooz haen",neg
3579,"hukomat k irkan ni curuption ka recard tor deya , ya in k baap k pisa nahi apni manmani kary supreme court ko action lena chea ",neg
3580,"hukumat kisi ki bhi ho awam ko sirf un ke masle haal karne ki liye ek insaan chaye . awam ko kisi party se koi lena dena nahi laiken jis tarha ye goverment kaam kar rahe hai is per awam ab tak mutmayeen nahi . adliya ki zadi or media ke azadi se awam ko kuch lena dena nahi awam ko sirf rozgaar , electricity , tahafuz , or mehngai se nijaat chaye . ",neg
3581,hukumat na humara blood baich diya ha humak pay lanat ho,neg
3582,"hum dunyaa ki wo waahid qom hain jin ki agar din dihaaray koi kapray nikaal kar bhi lay jaaye tou hum ye zehmat nahi karengay kay kamaz kam khud ko dhaanp lain ... humaaray sadar saab ko awam ki jaib say tex k naam par loot maar karnay ka bohat puraana tajruba hay ... humain petrol aalami mandi kay hisaab say rs 35 / leter mehenga milta hay magar majaal hay kay hum uff karain . bijli kabhi saalon main mehngi hoti thi ab har maheenay mehngi ho rahi hay magar koi awaami "" amli "" raday amal nhi ??? saaray siyasat daan sirf baaton kay shoshay chortay hain magar 63 saala taarikh main kabhi ghareeb awaam ko koi relief mila ??? wohi party ghareeb awaam ki baat karti hai jin ki hukoomat nhi hoti or jab un ki hukoomat aati hay to waadon ki topiyaan pehnaatay pehnaatay apna dor e hukoomat khatam karti hay ... ab jab aaye din aisay zulam awaam kay sath hotay hain tou kya hua jo aik ye bhi hogaya ... hum konsa jaagnay waalay hain ??? {{{ sar jhukaa kay geo }}} ",neg
3583,hum ghreeb to yay nhi kar sakty ye kam baaro ka he ho sakta hain,neg
3584,hum halatai jhung main hain . is k zemadar hum hain . q k hum nai khud usa india ku pakistan main rehnai dia hai . india apnai filmu k zerye humara culture kharab kerna chahta hai . is waja sai allah hum sai khafa hai . ,neg
3585,"hum halate jung mein is liye nahi hai kun keh hum ne khud halat ase banaye hain hamare mulk ka naam hai "" islami jamhoriya pakistan "" naam to rakhna nahi tha is ka matlab bhi samajh ker is ke mutabik chalna tha .... jo keh shurwat se ho jata to theek tha ak door tha keh vegitable 2 ane bhi barha dete the to awam road per a jati thi magar aj to chup chap bhete hain cheene to hamare hi mulk mein bunte hian aur hamein hi nahi mil rahi hai keh kon sa tariqa hai !!!!!!!!!!!!!!! hamara mulk islamic state hai magar sub se ziyada sneching hoti hai ak musalman dusre se lar raha hai zimadar koi nahi hai .... ",neg
3586,"hum halate jung mein is liye nahi hai kun keh hum ne khud halat ase banaye hain hamare mulk ka naam hai "" islami jamhoriya pakistan "" naam to rakhna nahi tha is ka matlab bhi samajh ker is ke mutabik chalna tha .... jo keh shurwat se ho jata to theek tha ak door tha keh vegitable 2 ane bhi barha dete the to awam road per a jati thi magar aj to chup chap bhete hain cheene to hamare hi mulk mein bunte hian aur hamein hi nahi mil rahi hai keh kon sa tariqa hai !!!!!!!!!!!!!!! hamara mulk islamic state hai magar sub se ziyada sneching hoti hai ak musalman dusre se lar raha hai zimadar koi nahi hai .... is jung ko sudhara ja sakta hai magar aj se hum log doste loggon ko namaz aur quran perhne ko kahe aur khud bhi kerin to !!! to chalo kon kon mera sath de ga ?? reply must",neg
3587,hum kia bol sakte hai jab gar walo ne paise le liye or hamare hukmuran aise hi hai amrica se chal hai hamara mulik jaisi awam wasi hukmuran lanat ho hukmat pay,neg
3588,hum ko pta bi hai zardari nay kitni corruptian ki ab hum uski baton ko kitna seriously lete hain yeh media ki burai hai,neg
3589,hum logun ko aab bhi samajh nehai aa reha hai ye saab siyasi jamatn ek hain allah in saab ka bera gharak kare aur zardari ki umer aur lambi kar de /// aab tu ek ho jao pakistani bhayun -- warna aap saab ke ghar main jaab khane ko nehai hoga pher autho ge kya,neg
3590,"hum majmui taur per baihis hochukay hain . aapna waqti faidah daik kar watan ka nuqsan karnay say nahi katratay . siyasat ais muasheray main aik gali ka naam hay , just because of this 3rd class politisions . aapnay faiday kay leay mufahimat . nawaz kia aor imran kia jumaat kia , mqm kia , sherpao kia aor anp kia sub bakwas hay . ppp q leage jo kuch karrahay hay peh aapna faida daikingay jasay n leage nay 2008 may kia ta , sub aik gaday ( kaotay ) kay kaan hay",neg
3591,hum muslim aik ho jay to koi taqat hamara kuch nahi kar saki magar muslim mai ittifaq nahi isi ka wo log faida uthaty hain or jo dill main aye karty rahty hain,neg
3592,hum na apna bunyade asoalon ko bhola dia h . is lia hum loag asai masail k smana kar rae hain ........ aj k is doar s jo khuch dkhana ko mila ha ..... wo tbahi hi h ......... ,neg
3593,hum na apna bunyade asoalon ko bhola dia h . is lia hum loag asai masail k smana kar rae hain ........ aj k is doar s jo khuch dkhana ko mila ha ..... wo tbahi hi h ... ye sab insano ki khud keye ki saza he . apne apne amal ki saza he sb . ,neg
3594,hum na dahshatgardo key kamar turdee hai,neg
3595,hum se pehli qomon par azab is lye aya ke waha taqatwaron ka ehtisaab ni hota tha . rape cases in punjab . legalising tax thieves,neg
3596,hum thak gae hain yar 20 years ho gae ap ko support krte lekin ap itne time main bus boom boom hi bne ho ..... ,neg
3597,hum tu smjhe the aap mar pitai nahi krtein,neg
3598,hum yeh kehna chahte hai ke karachi board wale yeh nahin chahte ke pakistan taraki kare,neg
3599,humari govt koi bhi ho kuch nhain ho ga pakistan ka buss ab jo pakistan ki awam hai oss ko aik hona ho ga ... buss dua kiya karein pakistan k liye or awam k liye allah pata nahin kab sunnay ga humari kon aaye ga allah ka banda jo pakistan ko our pakistani awam se piyar kare ga saab aatein hein our kha pee k chalay jatein hein .. aaye allah hum pe karam kar apna,neg
3600,humari govt ka yeh bohat ghalat faisla hai bhai jo kaam ki cheezen hai jaisay bijli pani or gas in ko to hum tak pohchain faltoo aiqdam kar rahay hain mujay ye batain tax barhane se faida kia hai ? mojooda hakoomat humain dey to kuch nahi rahi ulta hum se sub cheen rahi hai . mai is haqamat sy bohat mayoos hon gya hon ! ,neg
3601,humari huqomat sirf awam ko peraishan dekhna chahti hai k jitna ho sakay inhain tens kiya jay ab ye sms pe tax luga k inhon ne bohat gulat kiya hai inhain apna descion wapis lena chahiye,neg
3602,hume jab pta tha k ye zardri kon hai or paly kiya kar k giya hai pir b awam ny is ka intkhb kiya ... asal min ye hakumt humri he is galti ki saza hai .... ab hum marey y jiye hakumat ko kiya ....??? ager hum mai ab b gert ho tu kio na hum b misar ki parwhe kary or is hakumat ki tehs nahs kar dain ... pir dekhy k kon hum muslmano ko sar e raha marta hai ...................... ,neg
3603,hw r u . facebook wbsite boht bure wbsite ha jha talib ilm khrb hota ha to mare drkuwst ha k facebook ko block kiya ja a thnxxxxx . ,neg
3604,i didnt get it atay ko bail k double parathay ki tarha bna k filling krni he ya roll ki trha filling krni plz guide me @ kuku20,neg
3605,i hat naagin darama naagin to india ka acha hota hai bin to dekho bin nh lag rahe koi qawali lag rahe hai shebaz qalandr ki qawali maza to india k naagin mai hai pakistani mai nh rop badalty bu nh dekhaty k kaisy badalti hai rop i hat naagin﻿,neg
3606,i just hate aabdi zardari ne apnay kuch chailon k sath mil ker iss mulk aur awam ka bandar tamasha banaya hua hamedia aur sari quwatain democracy democracy kr rahay hynyeh loag pakistan ko wahan ja k chorain ge jahan koi bhi kuch nahe kr paye gaiss jaisay kuttay baghair election laray senator ban jatay hynsenate myn woh tamaam loag hotay hyn jo ya to election myn haar jatay hynya phir leadership k chamchay hotay hyn,neg
3607,i like u imran khan but plz ek ghatya insan ki olaad k liye khush na ho q k kuch pata ni kab baap k naqsh e qadam pe chal pare,neg
3608,i think aap negitive le rai hain bat ko bat is sense me nai ki gai hai k pure nai tha pyar bus ye btaya ja raha hai k ab muafi mangny ka kia faida sb khtm ho gya to muafi maang rahe hain .. wrna jo un ka pyar tha pure hi tha is me koi shak nai ...... ,neg
3609,i think jb tk ilzamat sabit nai hojatay sub baguna ha but agr inunay jurum kara ha to in per tahayat pabandi laga deni chahiyay chahay amir ho ye koi ur ku k inho nay gaalat kia ha ,neg
3610,"i think k in sub cheezon ki zemydaar khud hum aur hamari ghatia government ha , sub sy bhari ghalti tou hum jaisay logon ki ha .... hum me sy bhot sy logon ny aj bi apni awaz ko daba kr rakha howa ha aur hamari isi majboori ka goverment k bhot sy logon ny aj bhot faida uthaya ha ..... warna pakistan aj is door sy na guzaar raha hota . hamari kamzoori ki waja sy hi aj zardaari ny karry logal bill par sign kia , wo hamari hi ghaltia aur laparwayian thi jis ny zardaari ko yeh haq dia k wo hamara khoon choos sakay , wo hum hi thay jin ki band awaaz ki waja say aj government jo chahti ha wo karti ha .... hamary bhot sy leders is field mein bus money earn krnay aatay ha .. pakistan k kuch honest logon ki waja say hi aj pakistan chand logon k khanday par khara ha .. warna tu kon aur mein kon . ",neg
3611,i think k wo ek bozdil admi hai agar muj ko koi kaha k main tum ko maar do ga tu kia main apnay ghar chore kar baag jaoo ga nahi kiyo k main zurknan hader nahi hon wo ek bht hi darpook insan hai,neg
3612,i think kay yeh govt ki na ahli ka prove hai . hamari govt se jab bhi koi kam nahi hota hai tou woh isi traha kay kam karti hai . is govt se ek acha budget tou bun nahi saka tou unho nay yeh tareqqa apnaya . shabash hai hamari govt koo . waise bhi is quam kay uper jitnay b tex lagao yeh khushi khushi qabool kar lai gi kyun kay govt dept kay sath sath awam bhi tou corrupt hai yahan kii . tabhi tou saray dept corrupt hai . hum hi tou hai jo ek aam police walay ko rishwat dai kar corruption ka aghaz kartay hain . tou jese awam wasie hukmiran . jab tak awam nahi badlay gii . govt bhi nahi badlay giii . aj 17 % lagaya hai tou kal 50 % laga dai gii aur yeh awam dai giii ... ,neg
3613,i think writer ka b dil tang ho gaya ta k end leky baer hi drama darmiyan may khatam kar diya . bakwas se bhi bakwas drama tha,neg
3614,i9 zada acha hai manay be ya liya hai both both fit set hai ya ,neg
3615,ic sy tw v70 bhi bhtr hy bcz us ki battery timing tw hy . ,neg
3616,if he raped her than he raped most of the stage girls bcz he is making stage dramas for a long time ... so let ' s see what happens ... but dekha jaey to kuch stage girls khud b koi a6i ni ... kismat ko usi k mehboob ne maar diya,neg
3617,ijaz but sahib hamaray molk ka rivaj hay wo wazeer banao jis ko kakh na pata ho apni wizarat kay baray main app ko cricket kay baray main kia maloom warna manazira kar lain shayad app ko cricket kay speling bhi na atay hon please kaoch to acha rahnay dain jaain siri paay ki kisi dokan ka sattaya nas karain yay app kay bas ki bat nahin,neg
3618,ijaz butt ko ab jota parne wala hai jota phary ga tu he samj hi gi ???????? ,neg
3619,ijaz butt ko niqal bahir karein kyun kay us kay aanay kay baad pakistan team tabah ho gai hai or satttay ka rujhan barha ha i hate ijaz butt,neg
3620,ijaz butt pcb ko sahe tara nhe chalara jis ke waje sa player be bht zada karab hoge . waseem akram ko bolwing coach or javeed bahi ko batting coach bana chaya . zaheer abbas ko pcb ka cherman bana dana chaya,neg
3621,ik hi hain hum sb ko pagal bana rahy bus .... ,neg
3622,"impossible , a 2no leaders srif photo - shop k le a gae hai saudi - arab . wesay b iran pakistan ko koi aimiyath nae dheta . ",neg
3623,imraan nawaz kanjer ur zardari b mqm ye saray kanjer mumtaaz hussain qaderi k dushman hain ye saray kunjer,neg
3624,imran ab .. kbhi to is tweetr ka peecha chorr do yar ... her wakttt i lagy rehty ho,neg
3625,imran bhai ap dharne karlo phir se ?? ab koi nhi aega,neg
3626,"imran karachi ! main jamshed road par rehta hon kuch dino pehle main g3 main safar kar raha tha driver ne purani sabzi mandi k qareeb bus roki to aik dakait bus main char gaya us ne tt nikali aur sab ko kehne laga k jis k pas bi mobile payse hain foran nikaldo us ne 3 bandon k mobile le lye aur kuch payse bhi , wahan mene aik cheez note ki k conductor k pas bi kafi sare note thay conductor us k sath hi khara hua tha lekin us ne conductor ko kuch nahin bola woh dakait jese hi bus se utra driver ne foran bus chala di bhion ye bus wale jo hote hain na yeh log bhi mile hue hote hain har jagha curruption hai is ka hal sirf aur sirf yeh hai k fauji operation hona chahye . ",neg
3627,imran khan ap kese achay doctor say apna alag karvay apke damgee halat theak ni,neg
3628,imran khan is also doing lot of mistakes really is ko media me aake har jaga mun kholne ka shoq bhi bohot he zahir kabhi kabhar chawal to nikalni he phir bewaquuf insaan india jaake altaf hussein ke peeche par gia why he is opening unnecessary fronts koi ispagal ko samjhaei yaar let army handle him why u r jumping in,neg
3629,imran khan jetni baten achie karte hain kash k utna amal bhi acha kren future main . ,neg
3630,imran khan kadam barao in choro dakhoo sa pakistani awam ki jan chrao,neg
3631,imran khan ke wazirastan jane par boht se logo ke pet me dard uthna suro ho geya he asl me ye vo log he jin ko sirf apne elwa ori kisi ki koi fikr nahi ye log chahte he ke sari dunya mar jaye or sirf ye hi baqi rah jaye ashi karne ke liye muje samj nahi ati ke vo kese log he jo kis ke bacho ko roz marta dekhna chate he keya ye log roz begunaho ko marta dekh kar khus hote he in aql ke andho se koi ye tu poche jo log apne mahalo me bethe he or roz sirf apne mohn se joth bakte rahte he or koi 5 dafa bari le choka he or ko 3 daf on par tanqeed karte ap ko mut parti dar asl hamre safio ko haram khane ki adat par gayi he koi acha kam kare tu os ka sath dena chahiye na ke os kam se rokna chahiye khuda kare ke pakistan ke logo ko ye samj aajye,neg
3632,imran khan ko mar jana chahye shyd aisy saudi or irani officals un k akhri safar main unky sath hn,neg
3633,imran khan ky lie acha nai gurzra or 2016 b un ki harkaton py munhasar hy,neg
3634,imran khan qadam barhao sharif or zerdare ap ko maily ank sai be bhe dak sktai . ,neg
3635,imran khan tum jisa kuta begrat ghatyia insan es dunya mein ni hai lanat hai tery insan hony py tera bap lhr mein hai,neg
3636,imran nyaazi sahib log sirf mazy k liye ap k jalson ma aty hyn khush hony ki zrurt ni hy,neg
3637,imran sab awam ko sakoon se zindaghi ghuzarne dain plz plz plz,neg
3638,imran sab hat jao pondi krna shdi krwa lo,neg
3639,imran sb punjab main eden housing development walon nay 15000 families ka sath arbon rupay ka fraud kia hay plz kuch karain,neg
3640,in 8 pages k tamam replies mein sirf 3 replies aisy hain jinho ney ba qaida check krny k bad reply kia hai k ye tip work nahi kr rahi,neg
3641,in ash ' aar ki na to bahr mujhe maaloom hai na hi sinfe - sukhan ka kuchh ilm hai . ,neg
3642,"in choron ko nawaz , shahbaz , aur zardari aur in poori kabina ko aag main jala dena chahiye",neg
3643,in halat ke zemmedar hum khud hen,neg
3644,in jahilon ko vote ka huq hi nahi huna chaiye,neg
3645,in k bary ma bat kar k apni zaban ko kharb mat karyn plz in doono k nam lyna b ap ki tooheen ha . ,neg
3646,in ko yahin dunia main hi hisaaab dena paray ga inshallah . ,neg
3647,in ko to bohat pehly istifa dy dena chahiy tha . ,neg
3648,in logon ne jo jamhooriat ke thekedaar he is mulk ka bera gharak kar diya he kya aap ab bhi yeh samajhte hen ke hum inko vote den ge hamara bas nahi chalta ke ham in ko foji boot se maren ok,neg
3649,in nooni zardario ko itni sherm nhe k 1980 se punjab pr qbza kr k bthy huye hy or 1 hospital nhe bnaya or pehly se mojud hospital ko hi sirf naam change kr k apni buht bri kamyaabi smjh liyaor ye bayghrt skmh pr bohtaan lga rhy hy,neg
3650,in sha allah issi saal b hamesha ki tara zalil ho ga,neg
3651,india kahnae ko tu apny ap ko secular country kahta hae . lakin yae sub aek deekhawa hae . such kubhi chupae nahi chuptha . baharat mae rahny wale muslam jis kurb sae guzar rahe hae yae is bat ko such sabit kurta hae ke quied - e - azam sahi simt ke turf gamzan thy . proud to be a pakistani . ,neg
3652,india kisi be sorat pakistan ko apna dost nai bnana chata hai . ,neg
3653,india ko samny ane ki kia zarorat ha pakistan ki opposition ha na . ,neg
3654,india ne hamesha pakistan k sath ghalat kia 1947 se 2009 tak india ma kuch bhi hua us ka ilzam pakistan per lagaya lekin haqeeqat ye he k india apni ghalti ko chupane k liye sare ilzam pakistan par lagati he ta k indian awam apni hukumat ko bolne k bajae pakistani hukumat per ilzam lagae,neg
3655,india to hamesha he pakistan k mukhalif raha hai aur jb jaswant singh ne quaid e azam ko gandhi se bara leader kaha to hindus aur bhi pagal hoogae aur is trha confirm hogya hai k hindu musalmano k sb se bare dushman hn aur kbhi bhi musalmano k sath tameez se nahi rehsakte aur khuda k liye govt . to jag jae har wakt kuffar k jootey chatne tayyar rehti hai,neg
3656,infact ns na reject kar diya imran khan kokarachi dharna mein kaha imran khan na ka ns sa kisi kisam ki bat nahi karein ga or ab kahtein hein ka ns ko head nahi manein ga par oppositin alliance kar saktein hein stupid hypocrate,neg
3657,inhain pashtuns balochs ki koi fiqar nahi bus mal luto balay in k janazay gira kernay,neg
3658,inhee khaub saza do tak ke ye ayenda naslo ke leye sabaq ban jaye gabday player han ye,neg
3659,"inn kali behro main lanti masood , dr dhakna danish , mushriq lickman aur hassan naswar sarayfahrast hai",neg
3660,inn ki jo auqqaat hai yehi nazar anay walay sipaahi hi aaaaallllaaaaa hukkkaaaam hain,neg
3661,insan achi umeed hi rakh leta hai,neg
3662,insan dunya ki masrufyat main itna mashgol ho jata hai k us ko khabar hi nahi hoti k jis kapray say us ka kafan tayar hona hai wo biknay k liya bazar main a chuka hai yai cricket khailny ka waqat nahi hai or na hi tum koi hero ho,neg
3663,insan ka sab se bara dehshat gard insan khud hay wo hum may se hi hay aj kal insan insan ka dushman hay tou phir hum kis ko dehshat gard bolen han ? ,neg
3664,"intehae ghalat faisla intehae jahilana faisla hai hec ki tehleel ka . ye na sirf hazaron employees ki rozi roti k masla hai balkeh sub taleemi sargarmeon ( jo k hec k officials ki ) aur tamam staff ki anthak mehnat hai , ki nafi hai . aur phir ye kehna k jamhuriat hai ...!!!! sara sar ghalt hai aur eyn jamhuri taqazoon k khilaf hai . and im sorry to say that but ye hamaray unparh , jahil aur qabiz hukmaron ki samajh say balatar cheez hai k hec kya hai ???? aur iski kya achievements hain ...!!!! aur meri tou yehi dua hai k 12wain aaqa o mola imam mehdi ( as ) ka zahoor jald az jald ho ( ameen ) tabhi aik positive inqelaab aaey ga nehi to aisay jahilan faislay aaeynda bhi hotay rahain gay . aur bohat so ki haq talfi hoti rahay ge . ",neg
3665,intehai bakwas drama waqt he zaya kia :/ mjhe laga shayd ye bachpan se he phopho ki nafrat ki shikar t s lye s ko kch problem t mgr ye to .... ufff khuda maaaf kre or aise marz se sab ko bachae rake aameen,neg
3666,intehai bakwas he ye sirf demagh ka khlal he or koch nai serf jhot﻿ . had hy bakwas drama ever ! naagin ya naag koi bhe insani roop ni le skty ye sirf hinduani baten hain and nothing else,neg
3667,intehai baykar hai ,neg
3668,intehai fazool ... shadi kar li hai larki k sath or yeh tak nhn pata k is ka baap kon hai ?? nikah nama men kya likha tha ?? etc . ,neg
3669,inthai ghatiya trailer pata nahi movie kitne ghatiya hogi,neg
3670,iphone 6 kisi kaam ka nhi hai apne pese zaia nhi karo ,neg
3671,iphone 6 mat kharidein bcoz iski aluminium body hay aur ye pocket / purse mein asani se bend hojata hay isliye baad mein afsos karnay aur ronay se behtar hay kharidne se pehle aik dafa phir soch lein .. :) ,neg
3672,iphone front cam bakwas s4 ka front cam bht acha hai magr iphone ka bakwas ,neg
3673,iphone ka disply chota hain thts why flop mobile ha,neg
3674,is 3rd class mobile bekar phone hai ye camara ka result bilkul bekar hai ,neg
3675,is price mein to samsung c9 pro mil jata hai 6 gb rams ke sath,neg
3676,is set me aisa kya he jo itni price he ? ,neg
3677,is admi ne boht ghalt kiya ese medan chor ker nahi jana chahin tha yeh sirf is ne england mein political stay lene ke liye kiya drame baz pura drama kiya,neg
3678,is burger ka chiken bite k sath cut n chew hojata ha n my burger ka chiken ek hi bite ma sara bahir aur ap k hath ma bun reh jata ha . ,neg
3679,is charsi khattak ka nasha utre ga tu kch pta chale ga is ko,neg
3680,is chawal sabar begairat ne bhi koi lafafa pakra hoya he dheetoon ki tara kuwaa sufaid,neg
3681,is darame me na koi sor h na tal na hath h na pair bilkul cid bana diya h writer ki aise ki taise ? ,neg
3682,"is drame ki ending bht emotional honi chahiye thee but it was so so , faisal ki bewafai ko highlight karna chahiye tha . ﻿",neg
3683,is hakoomat main sab adaray loss main q hain ? its mean sab idaray curroption main paray hoay hain,neg
3684,is hakoomat main sab adaray naqsan main q hain ? its mean sab idaray curroption main paray hoay hain,neg
3685,is hukamat say aghar faida hai ... tu sirf punjaab koo ..... baqi ka allah hi malikkk .. ,neg
3686,is insan par mazeed bura hoga,neg
3687,is ka matlab hy yehi log kerwa rahy hin,neg
3688,is ka jwab muje nahi pata ... ,neg
3689,is ka ram ka bht massla hn ,neg
3690,is ka touch bohat ganda ha age aap ki marzi ,neg
3691,is ka zimider asif ali zardari hai ppp ke goverment ko katam karna chaye hai ajj,neg
3692,is ke zimedar hukoomat hai sur asif ali zardari hai zardari corrupt hai,neg
3693,is key beyan ko ihmeat he nahee deyni chaye,neg
3694,is liye kay yeh phir punjab ki bijli band krnay ki dhamki dein ?? koi sharam kren 350 dam banaein,neg
3695,is mai gorrella glass bhi nahi,neg
3696,is mai konsi nei chez kia hy ? i think yeh dish to har ghr mei banti rehti hy,neg
3697,is main wifi nahi hai . itna mehnga set hai or wifi hai hai .. ,neg
3698,is main finger print first generation isntimal hota hai is ka koi faida nahi hai ,neg
3699,is mamley mein hamari bhi nahi chelti computer automatic kaam kerta hai,neg
3700,is me jo compni ki taraf se wornty hoti he us me fazol he . mobile teek krne ka pesy chart hongy wo b mobile k price k braber ,neg
3701,is me baki sb to zabardast hai but is ki battery bht jaldi empty hu jati hai . or graphics b kuch khas mazay k nai hn ,neg
3702,is me koi application update nahi hoti ... play store se kuch be downloaded nai hota ,neg
3703,is me urdu thori ghalat lag rahi hai mujhe samajne me dushwari ho rahi hai . kiya ap urdu ki instructions correct kar sakte hain ? ,neg
3704,is mein math ka to koi kam hi nhi hai,neg
3705,is mob men sirf aek cheez aala qisam ki bakwas he wo ye ke display z 14 z12 pro ki tarah poora naehen he ,neg
3706,is mobile ka camera bekar hai aor screen wiew bhi acha nhi hai ,neg
3707,is mulk ka bara he gharak krdia hai is zardari ny lanat ho zadri pay,neg
3708,is mulk ka kya bany ga aur ham kab tak is tarha zindigi guzarty rahyn ga ? ,neg
3709,is nazariye se dekha jaye to aap ki pak hukoomat india se baddtar hai .. pak ki jail me mumtaz jaise aashiq e rasool band hain . ,neg
3710,is ne sharif brthors k sath jo kia woh bht galaat kia or ab ye khud b pachta raha hai lekin zahir nahin hone de raha hai bcz inki hukumat to fail ho hi chuki hai ... allah hmain asif zardari k k shar se bachae or is k napak azaim se pakistan or us ki awam ko mehfooz rakhe aameen,neg
3711,is parchy ka jhouta hony py 200,neg
3712,is phon camre ka flash nhi ha or 4g bhi nhi ha bus look hi look ha ,neg
3713,"is pic ki favor krne wale apni behen beti ya bv ki pic lagaen , agar itna he pasand hai ye fashion",neg
3714,is price mein bhi qmobile ne only 720p screen resolution di hai,neg
3715,is qoom ko ya b nai yaad rahjta kay subha is nay kia khya ha . ,neg
3716,is sab ka zemedar ijaz butt hei . ijaz butt nay pakistan kei cricket tabah kar dei hei . ijaz butt ko resigned dina chei hei . ,neg
3717,is say acha bnda e6 lay lay ,neg
3718,is say pehlay k log tumhen jootian mar k nikalen .. behtari isi men hai k team ki jan chor do .. paisy chahiye to batao ye,neg
3719,is se acha bnda apple iphone 4 le ya phr nokia e6 ,neg
3720,is se be nhn ho raha,neg
3721,is se ghatia film mne kbhi nh dekhi itni boring had h yar﻿,neg
3722,is se hamare mulk ki badnami hoi hai,neg
3723,is se toh type bhi nai kar paaun thk se ( 213 ) ,neg
3724,is set mein chrome per lines par jate hain koi bataye yeh repair kahan se ho ga ,neg
3725,is software sy format nhi hoi plz koi aur hal btye,neg
3726,is sy zyada maza to galaxy ka hai or iski price b to dekho itne mein new honda 125cc a jati hai ... ye le kr paisy hi waiste hongy ,neg
